iter	Passed	Remaining
637	3163	1794
638	3165	1788
639	3171	1783
640	3173	1777
641	3175	1770
642	3177	1764
643	3179	1757
644	3185	1753
645	3187	1746
646	3189	1740
647	3191	1733
648	3193	1727
649	3196	1720
650	3202	1716
651	3204	1710
652	3206	1703
653	3208	1697
654	3210	1691
655	3216	1686
656	3219	1680
657	3221	1674
658	3223	1667
659	3225	1661
660	3232	1657
661	3234	1651
662	3236	1645
663	3238	1638
664	3241	1632
665	3248	1629
666	3252	1623
667	3255	1618
668	3261	1613
669	3264	1607
670	3267	1602
671	3270	1596
672	3273	1590
673	3276	1584
674	3280	1579
675	3283	1573
676	3285	1567
677	3291	1563
678	3294	1557
679	3296	1551
680	3299	1545
681	3301	1539
682	3307	1535
683	3309	1529
684	3312	1523
685	3314	1517
686	3316	1511
687	3322	1506
688	3324	1500
689	3326	1494
690	3328	1488
691	3331	1482
692	3336	1478
693	3338	1472
694	3340	1466
695	3342	1460
696	3346	1454
697	3351	1450
698	3358	1446
699	3360	1440
700	3408	1453
701	3451	1465
702	3473	1467
703	3485	1465
704	3488	1459
705	3490	1453
706	3518	1458
707	3521	1452
708	3523	1446
709	3525	1440
710	3528	1434
711	3531	1428
712	3534	1422
713	3542	1418
714	3545	1413
715	3548	1407
716	3550	1401
717	3557	1397
718	3559	1391
719	3562	1385
720	3563	1379
721	3565	1372
722	3566	1366
723	3573	1362
724	3575	1356
725	3576	1349
726	3578	1343
727	3579	1337
728	3581	1331
729	3586	1326
730	3588	1320
731	3589	1314
732	3591	1308
733	3593	1302
734	3594	1295
735	3596	1289
736	3601	1285
737	3603	1279
738	3604	1273
739	3606	1267
740	3607	1261
741	3609	1255
742	3611	1249
743	3616	1244
744	3617	1238
745	3619	1232
746	3620	1226
747	3622	1220
748	3623	1214
749	3626	1208
750	3632	1204
751	3633	1198
752	3635	1192
753	3636	1186
754	3638	1180
755	3639	1174
756	3641	1168
757	3647	1164
758	3648	1158
759	3650	1152
760	3651	1146
761	3654	1141
762	3656	1135
763	3661	1131
764	3663	1125
765	3664	1119
766	3666	1113
767	3668	1108
768	3676	1104
769	3678	1098
770	3680	1093
771	3681	1087
772	3683	1081
773	3684	1075
774	3686	1070
775	3691	1065
776	3693	1060
777	3695	1054
778	3696	1048
779	3698	1043
780	3699	1037
781	3701	1031
782	3706	1027
783	3708	1021
784	3709	1016
785	3711	1010
786	3713	1004
787	3714	999
788	3716	993
789	3721	989
790	3723	983
791	3724	978
792	3726	972
793	3727	967
794	3729	961
795	3730	956
796	3736	951
797	3738	946
798	3739	940
799	3741	935
800	3742	929
801	3744	924
802	3745	918
803	3751	914
804	3752	909
805	3754	903
806	3755	898
807	3757	892
808	3759	887
809	3760	882
810	3765	877
811	3767	872
812	3769	866
813	3770	861
814	3772	856
815	3773	850
816	3775	845
817	3782	841
818	3785	836
819	3787	831
820	3788	826
821	3790	820
822	3791	815
823	3797	811
824	3798	805
825	3800	800
826	3801	795
827	3803	790
828	3805	784
829	3810	780
830	3812	775
831	3814	770
832	3815	764
833	3817	759
834	3818	754
835	3823	750
836	3825	744
837	3829	740
838	3831	735
839	3833	730
840	3842	726
841	3844	721
842	3846	716
843	3848	711
844	3849	706
845	3855	701
846	3856	696
847	3858	691
848	3860	686
849	3861	681
850	3863	676
851	3869	672
852	3870	667
853	3872	662
854	3873	656
855	3875	651
856	3876	646
857	3878	641
858	3883	637
